post_id,post_name,url,issue_types,gsc_clicks,gsc_impressions,backlinks,ref_domains,h2_count,anchor_count,promo_pattern,wire_style,claim_check_style,writing_qc_verdict,suggested_action,why,sample_1,sample_2,sample_3,batch_reason
401993,casper-network-publishes-the-casper-manifest-a-multi-year-roadmap-to-power-regulated-real-world-assets-and-the-machine-economy,https://coincu.com/casper-network-publishes-the-casper-manifest-a-multi-year-roadmap-to-power-regulated-real-world-assets-and-the-machine-economy/,visible_raw_url_in_text,0,0,0,0,0,5,yes,yes,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|press_release_wire_style|no_local_gsc_backlink_signal,otocol enhancement proposals for each initiative will be published. Explore a deep dive of the Casper Manifest here: https://casper.network/news/manifest About Casper Network Casper Network (CSPR) is a layer 1 Proof-of-Stake blockchain engineered for regulated real-world assets and the machine economy. With deterministic tra,,,wire_style_yes + promo_pattern_yes + qc_fail + zero_local_signal cohort; safest first-wave delete batch.
400890,safebets-introduces-new-prediction-platform-at-industry-conference,https://coincu.com/safebets-introduces-new-prediction-platform-at-industry-conference/,visible_raw_url_in_text,0,0,0,0,0,4,yes,yes,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|press_release_wire_style|no_local_gsc_backlink_signal,"tive Intelligence Engine, SafeBets targets 200 million users and $10B+ in annual trading profits by 2030. Website : https://safebets.world/ About Unicoin Unicoin is a cryptocurrency governed by Unicoin Foundation and issued by TransparentBusiness Inc., a U.S.-based crypto company committed to building one of th",,,wire_style_yes + promo_pattern_yes + qc_fail + zero_local_signal cohort; safest first-wave delete batch.
399796,whale-io-launches-the-first-ai-agent-mcp-for-crypto-casino,https://coincu.com/whale-io-launches-the-first-ai-agent-mcp-for-crypto-casino/,visible_raw_url_in_text,0,0,0,0,0,7,yes,yes,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|press_release_wire_style|no_local_gsc_backlink_signal,n. Users can discover the future of Whale.io Casino and Whale MCP campaign by checking them out here: Website: https://whale.io/ Campaign GitHub: https://github.com/Whale-io/lets-play-a-game?tab=readme-ov-file Contact Whale Spokesperson Whale.io support@whale.io ,,,wire_style_yes + promo_pattern_yes + qc_fail + zero_local_signal cohort; safest first-wave delete batch.
399001,bydfi-expands-european-reach-with-next-block-expo-2026-sponsorship-in-warsaw,https://coincu.com/bydfi-expands-european-reach-with-next-block-expo-2026-sponsorship-in-warsaw/,visible_raw_url_in_text,0,0,0,0,0,16,yes,yes,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|press_release_wire_style|no_local_gsc_backlink_signal,"a timely opportunity to get familiar with the platform and upcoming community activities. Registration is available at https://www.bydfi.com/en/register About BYDFi Established in 2020, BYDFi is a global crypto trading platform that combines the power of a centralized exchange (CEX) with an integrated onchain trading modul",,,wire_style_yes + promo_pattern_yes + qc_fail + zero_local_signal cohort; safest first-wave delete batch.
397850,bybit-launches-ai-skills-powering-ai-agents-for-crypto-trading-with-zero-setup-253-api-endpoints-and-growing,https://coincu.com/bybit-launches-ai-skills-powering-ai-agents-for-crypto-trading-with-zero-setup-253-api-endpoints-and-growing/,visible_raw_url_in_text,0,0,0,0,0,9,yes,yes,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|press_release_wire_style|no_local_gsc_backlink_signal,"rypto markets, backed by enterprise-grade infrastructure. To find out more about Bybit AI Skills, traders can visit: https://www.bybit.com/ai For further technical details, users may visit: GitHub &#8211; Bybit AI Skills #Bybit / #CryptoArk About Bybit Bybit is the world’s second-largest cryptocurrency exch",,,wire_style_yes + promo_pattern_yes + qc_fail + zero_local_signal cohort; safest first-wave delete batch.
396228,decibel-launches-fully-onchain-perpetuals-exchange-on-aptos-mainnet,https://coincu.com/decibel-launches-fully-onchain-perpetuals-exchange-on-aptos-mainnet/,visible_raw_url_in_text,0,0,0,0,0,7,yes,yes,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|press_release_wire_style|no_local_gsc_backlink_signal,"ied, transparent exchange capable of settling any asset, for any trader, anywhere. To start trading, users can visit https://app.decibel.trade/trade . About Decibel Decibel is a fully decentralized perpetuals exchange incubated by Aptos Labs. It operates a transparent Central Limit Order Book where order matching, set",,,wire_style_yes + promo_pattern_yes + qc_fail + zero_local_signal cohort; safest first-wave delete batch.
394972,public-masterpiece-announces-pmt-chain-a-layer-1-built-for-the-real-world-asset-economy,https://coincu.com/public-masterpiece-announces-pmt-chain-a-layer-1-built-for-the-real-world-asset-economy/,visible_raw_url_in_text,0,0,0,0,0,12,yes,yes,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|press_release_wire_style|no_local_gsc_backlink_signal,nd provenance for physical value across art and broader real-world asset markets. Useful Links: Website: https://www.publicmasterpiece.com/ X (Twitter): https://x.com/pm_token LinkedIn: https://www.linkedin.com/company/public-masterpiece/ Instagram: https://www.instagram.com/public_masterpiece/ ,,,wire_style_yes + promo_pattern_yes + qc_fail + zero_local_signal cohort; safest first-wave delete batch.
393808,investing-yachts-launches-rwa-yacht-charter-model,https://coincu.com/investing-yachts-launches-rwa-yacht-charter-model/,visible_raw_url_in_text,0,0,0,0,0,6,yes,yes,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|press_release_wire_style|no_local_gsc_backlink_signal,"es supporters to follow the project for pre-sale announcements, documentation updates, and roadmap progress: X: https://x.com/Investingyachts Instagram: https://www.instagram.com/investing.yachts/ Telegram: https://t.me/+kLdobl6TM2kzYzJk About Investing Yachts Investing Yachts &nbsp;is a bl",,,wire_style_yes + promo_pattern_yes + qc_fail + zero_local_signal cohort; safest first-wave delete batch.
393592,tramplin-introduces-premium-staking-on-solana-a-proven-savings-model-rebuilt-for-crypto,https://coincu.com/tramplin-introduces-premium-staking-on-solana-a-proven-savings-model-rebuilt-for-crypto/,visible_raw_url_in_text,0,0,0,0,0,6,yes,yes,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|press_release_wire_style|no_local_gsc_backlink_signal,"e sharing, and community Boost Points. Additional details about Tramplin and its Partner Program are available at&nbsp; https://tramplin.io About Tramplin Tramplin is a premium staking platform &nbsp;built on Solana with verifiable and random distribution of outsized rewards. Founded in early 2025, ",,,wire_style_yes + promo_pattern_yes + qc_fail + zero_local_signal cohort; safest first-wave delete batch.
392216,uss-status-launch-crypto-veteran-returns-with-satirical-cartoon-privacy-app-and-gasless-l2,https://coincu.com/uss-status-launch-crypto-veteran-returns-with-satirical-cartoon-privacy-app-and-gasless-l2/,visible_raw_url_in_text,0,0,0,0,0,7,yes,yes,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|press_release_wire_style|no_local_gsc_backlink_signal,"he show is available on X, YouTube, and TikTok, with the Status team hinting that more episodes are on their way soon: https://youtu.be/478Bjdcswo0 “Over the past decade, crypto has traded its sense of fun and freedom for market hype and profit-first narratives,” said Volodymy Hulchenko , Status App Lead. “USS Status",,,wire_style_yes + promo_pattern_yes + qc_fail + zero_local_signal cohort; safest first-wave delete batch.
