post_id,post_name,live_url,recommended_action,priority,classification_notes,api_delete_http_status,api_delete_result,api_note,public_status_after_delete,final_verdict
401112,why-is-terra-classic-lunc-pumping-today,https://coincu.com/why-is-terra-classic-lunc-pumping-today/,worth_fixing_bulk,MEDIUM,Single raw URL after colon; fixable with a straightforward source-link rewrite.,404,http_error,Invalid post ID.,404,removed_public
400270,binance-33-web3-business-partners-liquidity-system,https://coincu.com/binance-33-web3-business-partners-liquidity-system/,worth_fixing_bulk,MEDIUM,Single raw URL after colon; fixable with a straightforward source-link rewrite.,404,http_error,Invalid post ID.,404,removed_public
400220,solana-toly-stablecoin-court-authorization-freeze,https://coincu.com/solana-toly-stablecoin-court-authorization-freeze/,worth_fixing_bulk,MEDIUM,Single raw URL in parentheses; fixable with a straightforward source-link rewrite.,404,http_error,Invalid post ID.,404,removed_public
398744,worldcoin-wld-eyed-amid-eightco-pivot-nav-premium,https://coincu.com/worldcoin-wld-eyed-amid-eightco-pivot-nav-premium/,worth_fixing_bulk,MEDIUM,Single raw URL in parentheses; fixable with a straightforward source-link rewrite.,404,http_error,Invalid post ID.,404,removed_public
398668,bytedance-sells-moonton-for-6-7b-amid-ai-pivot,https://coincu.com/bytedance-sells-moonton-for-6-7b-amid-ai-pivot/,worth_fixing_bulk,MEDIUM,Single raw URL in parentheses; fixable with a straightforward source-link rewrite.,404,http_error,Invalid post ID.,404,removed_public
398334,phantom-gets-cftc-relief-on-introducing-broker-rules,https://coincu.com/phantom-gets-cftc-relief-on-introducing-broker-rules/,worth_fixing_bulk,MEDIUM,Single raw URL after colon; fixable with a straightforward source-link rewrite.,404,http_error,Invalid post ID.,404,removed_public
398242,neutron-exits-ics-after-mercury-upgrade-ngp-winds-down,https://coincu.com/neutron-exits-ics-after-mercury-upgrade-ngp-winds-down/,worth_fixing_bulk,MEDIUM,Single raw URL in parentheses; fixable with a straightforward source-link rewrite.,404,http_error,Invalid post ID.,404,removed_public
398208,dtcpay-confirms-16-5m-pre-series-a-holds-mas-mpi-license,https://coincu.com/dtcpay-confirms-16-5m-pre-series-a-holds-mas-mpi-license/,worth_fixing_bulk,MEDIUM,Single raw URL in parentheses; fixable with a straightforward source-link rewrite.,404,http_error,Invalid post ID.,404,removed_public
398114,abra-pursues-spac-with-npac-at-750m-amid-sec-review,https://coincu.com/abra-pursues-spac-with-npac-at-750m-amid-sec-review/,worth_fixing_bulk,MEDIUM,Single raw URL in parentheses; fixable with a straightforward source-link rewrite.,404,http_error,Invalid post ID.,404,removed_public
397955,pharos-dat-advances-as-gcl-new-energy-deal-terms-verified,https://coincu.com/pharos-dat-advances-as-gcl-new-energy-deal-terms-verified/,worth_fixing_bulk,MEDIUM,Single raw URL after colon; fixable with a straightforward source-link rewrite.,404,http_error,Invalid post ID.,404,removed_public
397912,minisforum-n5-max-ai-nas-faces-scrutiny-after-cncert-alert,https://coincu.com/minisforum-n5-max-ai-nas-faces-scrutiny-after-cncert-alert/,worth_fixing_bulk,MEDIUM,Single raw URL in parentheses; fixable with a straightforward source-link rewrite.,404,http_error,Invalid post ID.,404,removed_public
397882,synthetix-expands-perps-on-ethereum-as-susd-buybacks-begin,https://coincu.com/synthetix-expands-perps-on-ethereum-as-susd-buybacks-begin/,worth_fixing_bulk,MEDIUM,Single raw URL in parentheses; fixable with a straightforward source-link rewrite.,404,http_error,Invalid post ID.,404,removed_public
397772,cryptio-said-to-raise-45m-in-series-b-led-by-blackfin,https://coincu.com/cryptio-said-to-raise-45m-in-series-b-led-by-blackfin/,worth_fixing_bulk,MEDIUM,Single raw URL in parentheses; fixable with a straightforward source-link rewrite.,404,http_error,Invalid post ID.,404,removed_public
397720,cryptio-funding-faces-review-as-45m-report-vs-2025-data,https://coincu.com/cryptio-funding-faces-review-as-45m-report-vs-2025-data/,worth_fixing_bulk,MEDIUM,Single raw URL in parentheses; fixable with a straightforward source-link rewrite.,404,http_error,Invalid post ID.,404,removed_public
397675,tencent-launches-skillhub-amid-clawhub-crawling-dispute,https://coincu.com/tencent-launches-skillhub-amid-clawhub-crawling-dispute/,worth_fixing_bulk,MEDIUM,Single raw URL in parentheses; fixable with a straightforward source-link rewrite.,404,http_error,Invalid post ID.,404,removed_public
