post_id,post_name,live_url,recommended_action,evergreen_tier,evergreen_note
382268,grayscale-bitcoin-halving-cycle,https://coincu.com/grayscale-bitcoin-halving-cycle/,worth_fixing_bulk,borderline_evergreen_slug,"Borderline: slug can be repurposed, but current framing sounds more topical or dated."
364264,cftc-tokenized-collateral-launch,https://coincu.com/cftc-tokenized-collateral-launch/,worth_fixing_bulk,borderline_evergreen_slug,"Borderline: slug can be repurposed, but current framing sounds more topical or dated."
269402,how-to-add-solana-to-metamask,https://coincu.com/how-to-add-solana-to-metamask/,worth_fixing_bulk,strong_evergreen_slug,How-to slug; strongest evergreen fit.
263749,how-to-get-morph-airdrop-a-comprehensive-guide,https://coincu.com/how-to-get-morph-airdrop-a-comprehensive-guide/,worth_fixing_bulk,borderline_evergreen_slug,"Borderline: slug can be repurposed, but current framing sounds more topical or dated."
225840,memecoin-listing-bitcoin-etf-prediction-insights,https://coincu.com/memecoin-listing-bitcoin-etf-prediction-insights/,worth_fixing_bulk,borderline_evergreen_slug,"Borderline: slug can be repurposed, but current framing sounds more topical or dated."
210813,sei-network-airdrop-query-mainnet-release,https://coincu.com/sei-network-airdrop-query-mainnet-release/,worth_fixing_bulk,strong_evergreen_slug,"Guide/product/topic slug; evergreen if refreshed, but may need content rewrite."
210715,liquidity-concerns-surrounding-circle-token,https://coincu.com/liquidity-concerns-surrounding-circle-token/,worth_fixing_bulk,strong_evergreen_slug,"Topical concept slug, can be reframed into evergreen educational content."
188907,unisat-wallet,https://coincu.com/unisat-wallet/,worth_fixing_bulk,strong_evergreen_slug,"Guide/product/topic slug; evergreen if refreshed, but may need content rewrite."
186127,brc-20-token-keep-in-mind-next-trend,https://coincu.com/brc-20-token-keep-in-mind-next-trend/,worth_fixing_bulk,borderline_evergreen_slug,"Borderline: slug can be repurposed, but current framing sounds more topical or dated."
175841,zksync-guide-retroactive-hunting,https://coincu.com/zksync-guide-retroactive-hunting/,worth_fixing_bulk,strong_evergreen_slug,"Guide/product/topic slug; evergreen if refreshed, but may need content rewrite."
161069,layer-2-shibarium-a-first-look-shiba-inu,https://coincu.com/layer-2-shibarium-a-first-look-shiba-inu/,worth_fixing_bulk,borderline_evergreen_slug,"Borderline: slug can be repurposed, but current framing sounds more topical or dated."
143700,outstanding-bnb-chain-metaverse-project,https://coincu.com/outstanding-bnb-chain-metaverse-project/,worth_fixing_bulk,borderline_evergreen_slug,"Borderline: slug can be repurposed, but current framing sounds more topical or dated."
128209,investment-opportunity-sui-ecosystem,https://coincu.com/investment-opportunity-sui-ecosystem/,worth_fixing_bulk,borderline_evergreen_slug,"Borderline: slug can be repurposed, but current framing sounds more topical or dated."
125204,what-are-ethw-and-eths,https://coincu.com/what-are-ethw-and-eths/,worth_fixing_manual,strong_evergreen_slug,Definition/explainer slug; strong evergreen fit.
123059,ethereum-the-merge,https://coincu.com/ethereum-the-merge/,worth_fixing_manual,strong_evergreen_slug,Core topic slug; could be kept as historical/explainer asset.
118417,how-to-add-dogechain-network-to-metamask,https://coincu.com/how-to-add-dogechain-network-to-metamask/,worth_fixing_bulk,strong_evergreen_slug,How-to slug; strongest evergreen fit.
